Term,Description,Context
OEFD,mapper (ORAD) 10. electric field detector, neutral particle mass spectrometer (ONMS) 5. cloud photopolarimeter (OCPP) 6. temperature sounding infrared radiometer (OIR) 7. magnetic field fluxgate magnetometer (OMAG) 8. solar wind plasma analyzer (OPA)  9. surface radar mapper (ORAD) 10. electric field detector (OEFD) 11. transient gamma ray burst detector (OGBD) 12. radio occultation experiment 13. atmospheric and solar corona turbulence experiment 14. drag measurements experiment 15. 2 radio science experiments to determine gravity field 16. ultraviolet spectrometer (OUVS)Results: Formally approved by NASA in August  
OGBD,11. transient gamma ray burst detector, neutral particle mass spectrometer (ONMS) 5. cloud photopolarimeter (OCPP) 6. temperature sounding infrared radiometer (OIR) 7. magnetic field fluxgate magnetometer (OMAG) 8. solar wind plasma analyzer (OPA)  9. surface radar mapper (ORAD) 10. electric field detector (OEFD) 11. transient gamma ray burst detector (OGBD) 12. radio occultation experiment 13. atmospheric and solar corona turbulence experiment 14. drag measurements experiment 15. 2 radio science experiments to determine gravity field 16. ultraviolet spectrometer (OUVS)Results: Formally approved by NASA in August  
OUVS,determine gravity field 16. ultraviolet spectrometer, neutral particle mass spectrometer (ONMS) 5. cloud photopolarimeter (OCPP) 6. temperature sounding infrared radiometer (OIR) 7. magnetic field fluxgate magnetometer (OMAG) 8. solar wind plasma analyzer (OPA)  9. surface radar mapper (ORAD) 10. electric field detector (OEFD) 11. transient gamma ray burst detector (OGBD) 12. radio occultation experiment 13. atmospheric and solar corona turbulence experiment 14. drag measurements experiment 15. 2 radio science experiments to determine gravity field 16. ultraviolet spectrometer (OUVS)Results: Formally approved by NASA in August  
BNMS,Scientific Instruments:Spacecraft Bus:1. neutral mass spectrometer,"Launch Site: Cape Canaveral / Launch Complex 36A Scientific Instruments:Spacecraft Bus:1. neutral mass spectrometer (BNMS)2. ion mass spectrometer (BIMS)Large Probe:1. neutral mass spectrometer2. solar flux radiometer3. gas chromatograph4. infrared radiometer5. cloud particle size spectrometer6. nephelometerSmall Probes (each):1. neutral mass spectrometer2. gas chromatograph3. solar flux radiometer4. infrared radiometer5. cloud particle size spectrometer6. temperature, pressure, acceleration sensors7. nephelometerPioneer Project Manager Charlie Hall inspects the Pioneer  "
BIMS,mass spectrometer (BNMS)2. ion mass spectrometer,"Launch Site: Cape Canaveral / Launch Complex 36A Scientific Instruments:Spacecraft Bus:1. neutral mass spectrometer (BNMS)2. ion mass spectrometer (BIMS)Large Probe:1. neutral mass spectrometer2. solar flux radiometer3. gas chromatograph4. infrared radiometer5. cloud particle size spectrometer6. nephelometerSmall Probes (each):1. neutral mass spectrometer2. gas chromatograph3. solar flux radiometer4. infrared radiometer5. cloud particle size spectrometer6. temperature, pressure, acceleration sensors7. nephelometerPioneer Project Manager Charlie Hall inspects the Pioneer  "
EPAS,analyzer 7. energetic particle anisotropy spectrometer,Launch Site: Cape Canaveral / Launch Complex 17B Scientific Instruments: 1. solar wind plasma detector 2. vector helium magnetometer 3. low energy cosmic ray experiment 4. medium energy cosmic ray experiment 5. high energy cosmic ray experiment 6. plasma waves spectrum analyzer 7. energetic particle anisotropy spectrometer (EPAS) 
ISEE,International Sun Earth Explorers,Scientific Instruments: 1. solar wind plasma detector 2. vector helium magnetometer 3. low energy cosmic ray experiment 4. medium energy cosmic ray experiment 5. high energy cosmic ray experiment 6. plasma waves spectrum analyzer 7. energetic particle anisotropy spectrometer (EPAS)  8. interplanetary and solar electrons experiment 9. radio mapping of solar disturbances experiment 10. solar wind ion composition experiment 11. cosmic ray isotope spectrometer 12. x-rays and gamma-ray bursts experiment 13. gamma-ray bursts experiment 14. cosmic-ray energy spectrum charged- particle telescopeResults: ISEE-3 was the third of three International Sun-Earth Explorers (ISEE) designed and oper-ated by NASA in cooperation with the European Space Agency (ESA). NASA built the first and  
ESA,European Space Agency,Scientific Instruments: 1. solar wind plasma detector 2. vector helium magnetometer 3. low energy cosmic ray experiment 4. medium energy cosmic ray experiment 5. high energy cosmic ray experiment 6. plasma waves spectrum analyzer 7. energetic particle anisotropy spectrometer (EPAS)  8. interplanetary and solar electrons experiment 9. radio mapping of solar disturbances experiment 10. solar wind ion composition experiment 11. cosmic ray isotope spectrometer 12. x-rays and gamma-ray bursts experiment 13. gamma-ray bursts experiment 14. cosmic-ray energy spectrum charged- particle telescopeResults: ISEE-3 was the third of three International Sun-Earth Explorers (ISEE) designed and oper-ated by NASA in cooperation with the European Space Agency (ESA). NASA built the first and  
ICE,International Cometary Explorer,"after a series of five complex flybys of the Moon (the last on 22 December 1983 at a range of only 120 kilometers), ISEE-3 was sent on a trajectory to encounter the comet. At this point, the space -craft was renamed the International Cometary Explorer (ICE). On 11 September 1985 at 11:02 UT, ICE passed within 7,862 kilometers of the  "
MISHA,nephelometer 4. light level/lighting detectorBus: 1. magnetometer, 6. ISAV-S ultraviolet spectrometer  7. LSA laser aerosol meter 8. Malakhit-M aerosol mass spectrometer (MS 1S1) 9. BDRP-AM25 soil x-ray fluorescence spec-trometer + drill 10. GS-15STsV gamma-ray spectrometer 11. PrOP-V penetrometer/soil ohmmeterBalloon: 1. temperature and pressure sensors 2. vertical wind anemometer 3. nephelometer 4. light level/lighting detectorBus: 1. magnetometer (MISHA) 2. PLAZMAG-1 plasma energy analyzer 3. Tyunde-M energetic particle analyzer 
ING,4. neutral gas mass spectrometer, 7. LSA laser aerosol meter 8. Malakhit-M aerosol mass spectrometer (MS 1S1) 9. BDRP-AM25 soil x-ray fluorescence spec-trometer + drill 10. GS-15STsV gamma-ray spectrometer 11. PrOP-V penetrometer/soil ohmmeterBalloon: 1. temperature and pressure sensors 2. vertical wind anemometer 3. nephelometer 4. light level/lighting detectorBus: 1. magnetometer (MISHA) 2. PLAZMAG-1 plasma energy analyzer 3. Tyunde-M energetic particle analyzer  4. neutral gas mass spectrometer (ING) 5. 
PUMA,analyzer 7. dust mass spectrometer, 6. APV-N low-frequency plasma wave analyzer  7. dust mass spectrometer (PUMA) 8. SP-1 and SP-2 dust particle counters 9. dust counter and mass analyzer (DUCMA) 10. Foton dust particle recorder 
DUCMA,counters 9. dust counter and mass analyzer, 6. APV-N low-frequency plasma wave analyzer  7. dust mass spectrometer (PUMA) 8. SP-1 and SP-2 dust particle counters 9. dust counter and mass analyzer (DUCMA) 10. Foton dust particle recorder 
TVS,recorder 11. imaging system," 7. dust mass spectrometer (PUMA) 8. SP-1 and SP-2 dust particle counters 9. dust counter and mass analyzer (DUCMA) 10. Foton dust particle recorder  11. imaging system (TVS) 12. infrared spectrometer (IKS) 13. ultraviolet, visible, infrared imaging spec-trometer (TKS)Results: The twin-spacecraft Vega project, named  "
IKS,system (TVS) 12. infrared spectrometer," 7. dust mass spectrometer (PUMA) 8. SP-1 and SP-2 dust particle counters 9. dust counter and mass analyzer (DUCMA) 10. Foton dust particle recorder  11. imaging system (TVS) 12. infrared spectrometer (IKS) 13. ultraviolet, visible, infrared imaging spec-trometer (TKS)Results: The twin-spacecraft Vega project, named  "
TKS,"visible, infrared imaging spec trometer"," 7. dust mass spectrometer (PUMA) 8. SP-1 and SP-2 dust particle counters 9. dust counter and mass analyzer (DUCMA) 10. Foton dust particle recorder  11. imaging system (TVS) 12. infrared spectrometer (IKS) 13. ultraviolet, visible, infrared imaging spec-trometer (TKS)Results: The twin-spacecraft Vega project, named  "
MISHA,nephelometer 4. light level/lighting detectorBus: 1. magnetometer,1984  Balloon: 1. temperature and pressure sensors 2. vertical wind anemometer 3. nephelometer 4. light level/lighting detectorBus: 1. magnetometer (MISHA) 2. PLAZMAG-1 plasma energy analyzer 3. Tyunde-M energetic particle analyzer 
ING,4. neutral gas mass spectrometer, Balloon: 1. temperature and pressure sensors 2. vertical wind anemometer 3. nephelometer 4. light level/lighting detectorBus: 1. magnetometer (MISHA) 2. PLAZMAG-1 plasma energy analyzer 3. Tyunde-M energetic particle analyzer  4. neutral gas mass spectrometer (ING) 5. 
PUMA,analyzer 7. dust mass spectrometer, APV-N low-frequency plasma wave analyzer  7. dust mass spectrometer (PUMA) 8. SP-1 and SP-2 dust particle counters 9. dust counter and mass analyzer (DUCMA) 10. Foton dust particle recorder 
DUCMA,counters 9. dust counter and mass analyzer, APV-N low-frequency plasma wave analyzer  7. dust mass spectrometer (PUMA) 8. SP-1 and SP-2 dust particle counters 9. dust counter and mass analyzer (DUCMA) 10. Foton dust particle recorder 
TVS,recorder 11. imaging system," 7. dust mass spectrometer (PUMA) 8. SP-1 and SP-2 dust particle counters 9. dust counter and mass analyzer (DUCMA) 10. Foton dust particle recorder  11. imaging system (TVS) 12. infrared spectrometer (IKS) 13. ultraviolet, visible, infrared imaging spec-trometer (TKS)Results: Vega 2 was the sister spacecraft to Vega 1,  "
IKS,system (TVS) 12. infrared spectrometer," 7. dust mass spectrometer (PUMA) 8. SP-1 and SP-2 dust particle counters 9. dust counter and mass analyzer (DUCMA) 10. Foton dust particle recorder  11. imaging system (TVS) 12. infrared spectrometer (IKS) 13. ultraviolet, visible, infrared imaging spec-trometer (TKS)Results: Vega 2 was the sister spacecraft to Vega 1,  "
TKS,"visible, infrared imaging spec trometer"," 7. dust mass spectrometer (PUMA) 8. SP-1 and SP-2 dust particle counters 9. dust counter and mass analyzer (DUCMA) 10. Foton dust particle recorder  11. imaging system (TVS) 12. infrared spectrometer (IKS) 13. ultraviolet, visible, infrared imaging spec-trometer (TKS)Results: Vega 2 was the sister spacecraft to Vega 1,  "
ISAS,tute of Space and Astronautical Sciences,operations of the actual mission. Japan™s Insti -tute of Space and Astronautical Sciences (ISAS)  
NMS,Scientific Instruments:1. neutral mass spectrometer,Launch Site: CSG / ELA-1 Scientific Instruments:1. neutral mass spectrometer (NMS)2. ion mass spectrometer (IMS)3. Giotto radio experiment (GRE)4. dust impact detection system (DID)166 
IMS,spectrometer (NMS)2. ion mass spectrometer,Launch Site: CSG / ELA-1 Scientific Instruments:1. neutral mass spectrometer (NMS)2. ion mass spectrometer (IMS)3. Giotto radio experiment (GRE)4. dust impact detection system (DID)166 
GRE,spectrometer (IMS)3. Giotto radio experiment,Launch Site: CSG / ELA-1 Scientific Instruments:1. neutral mass spectrometer (NMS)2. ion mass spectrometer (IMS)3. Giotto radio experiment (GRE)4. dust impact detection system (DID)166 
DID,(GRE)4. dust impact detection system,Launch Site: CSG / ELA-1 Scientific Instruments:1. neutral mass spectrometer (NMS)2. ion mass spectrometer (IMS)3. Giotto radio experiment (GRE)4. dust impact detection system (DID)166 
RPA,5. Rème plasma analyzer,"BEYOND EARTH: A CHRONICLE OF DEEP SPACE EXPLORATION, 1958Œ2016  5. Rème plasma analyzer (RPA) "
JPA,6. Johnstone plasma analyzer, 5. Rème plasma analyzer (RPA)  6. Johnstone plasma analyzer (JPA) 
EPA,7. energetic particles analyzer, 6. Johnstone plasma analyzer (JPA)  7. energetic particles analyzer (EPA) 
MAG,analyzer (EPA) 8. magnetometer, 7. energetic particles analyzer (EPA)  8. magnetometer (MAG) 9. optical probe experiment (OPE) 10. Halley multicolor camera (HMC) 11. particulate impact analyzer (PIA)Results: Giotto was the first deep space probe  
OPE,(MAG) 9. optical probe experiment, 7. energetic particles analyzer (EPA)  8. magnetometer (MAG) 9. optical probe experiment (OPE) 10. Halley multicolor camera (HMC) 11. particulate impact analyzer (PIA)Results: Giotto was the first deep space probe  
HMC,(OPE) 10. Halley multicolor camera, 7. energetic particles analyzer (EPA)  8. magnetometer (MAG) 9. optical probe experiment (OPE) 10. Halley multicolor camera (HMC) 11. particulate impact analyzer (PIA)Results: Giotto was the first deep space probe  
PIA,(HMC) 11. particulate impact analyzer, 7. energetic particles analyzer (EPA)  8. magnetometer (MAG) 9. optical probe experiment (OPE) 10. Halley multicolor camera (HMC) 11. particulate impact analyzer (PIA)Results: Giotto was the first deep space probe  
ESA,European Space Agency, 8. magnetometer (MAG) 9. optical probe experiment (OPE) 10. Halley multicolor camera (HMC) 11. particulate impact analyzer (PIA)Results: Giotto was the first deep space probe  launched by the European Space Agency (ESA). It  
RLK,mass analyzer 3. radar system,Launch Site: NIIP-5 / Site 200/39 Scientific Instruments:Orbiter: 1. Lima-D laser mass spectrometer analyzer 2. Dion secondary ion mass analyzer 3. radar system (RLK) (of which Plazma iono-sphere study instrument only on Fobos 1) 
VSK,1) 4. videospectrometric system,Scientific Instruments:Orbiter: 1. Lima-D laser mass spectrometer analyzer 2. Dion secondary ion mass analyzer 3. radar system (RLK) (of which Plazma iono-sphere study instrument only on Fobos 1)  4. videospectrometric system (VSK) 5. KRFM-ISM infrared spectrometer 6. Termoskan infrared spectrometer 
ISO,Ogyust optical radiation spectrometer, 8. GS-14 STsF gamma-emission spectrometer 9.  Ogyust optical radiation spectrometer (ISO) 10. scanning energy-mass spectrometer (ASPERA) 11. plasma spectrometer (MPK) 12. Ester electron spectrometer 13. plasma wave analyzer (APV-F / PWS) 
