Term,Definitions
analysis (mathematics),That part of the field of mathematics which arises from the calculus and which deals primarily with functions.
analysis of variance,"A systematic statistical procedure for determining the sources and the magnitudes of the errors present in a measurement process, and for assessing the significance of differences between materials, processes, or test methods under study."
analytic functions,
analytic geometry,
analytical chemistry,
analyzers,
~ analyzing,
anaphylaxis,
anastigmatism,
anatase,
anatomy,
anchors (fasteners),
Andes Mountains (South America),
andesite,Volcanic rock composed essentially of andesine and one or more mafic constituents.
Andorra,
~ Andromeda,
Andromeda Constellation,
Andromeda Galaxy,
anechoic chambers,Enclosures especially designed with boundaries that absorb sufficiently well the sound incident thereon to create an essentially field-free condition in the frequency ranges of interest.
anelasticity,
anemias,
anemometers,"Instruments used to measure the speed of air currents, usually measured from the rotation of wind drivin cups or from wind pressure through a tube pointed into the wind."
anesthesia,
anesthesiology,
anesthetics,
angels (radar),"Echos of false radar targets caused by atmospheric inhomogeneity, atmospheric refraction, insects, birds, or unknown phenomena."
angina pectoris,
angiogenesis,The development of new blood vessels.
angiography,
angiosperms,
angiotensins,"Oligopeptides ranging in size from angiotensin precursors with 14 amino acids to the active vasoconstrictor angiotensin II with 8 amino acids, or their analogs or derivatives. The amino acid content varies with the species and changes in that content produce antagonistic or inactive compounds."
angle of attack,The angle between a reference line fixed with respect to an airframe and a line in the direction of movement of the body.
angles (geometry),"The inclination to each other of two intersecting lines, measured by the arc of a circle intercepted between the two lines forming the angle, the center of the circle being the point of intersection."
Angola,
angular acceleration,The rate of change of angular velocity.
angular correlation,
angular distribution,
angular momentum,
angular resolution,"Specifically, the ability of a radar to distinguish between two targets solely by the measurement of angles."
angular velocity,"The change of angle per unit time; specifically, in celestial mechanics, the change in angle of the radius vector per unit time. Used for angular motion."
anhydrides,
Anik 1,
Anik 2,
Anik 3,
Anik satellites,"A series of geostationary communication satellites operated by Telesat which is partly owned by the Canadian government and partly owned by private enterprise. The name ""Anik"" is derived from an Eskimo word meaning ""brother."" It was so designated because of its partial use in the Far North."
aniline,
animal models,"Non-human animals, selected because of specific characteristics, for use in experimental research, teaching, or testing."
animals,
animation,
anions,
anisole,
anisoplanatism,"In adaptive optics (AO) systems, a performance-degrading effect that arises whenever light from the wave-front sensor beacon and light from the target object sample different volumes of optical turbulence. This effect results in an increased value of the aperture-averaged residual phase variance after AO compensation, which causes an exponential decrease in system performance."
anisotropic fluids,
anisotropic media,
anisotropic plates,
anisotropic shells,
anisotropy,"Having different properties in different directions. Used for nonisotropy, onisotropy, photothermotropism, and thermotropism."
Anna hurricane,
ANNA satellites,
annealing,"Application of heat energy to a material cooling at a suitable rate to relieve stresses, change certain properties, improve machinability, or for realignment of atoms in a distorted lattice as caused, for example, by radiation damage."
annihilation reactions,
annotations,
annual variations,
annular core pulse reactors,
annular ducts,"Ring-shaped openings for the passage of fluids (gases, etc.) designed for optimum aerodynamic flow properties for the application involved."
annular flow,
annular nozzles,
annular plates,
annular suspension and pointing system,"In the Shuttle era, high accuracy pointing and stabilization of an experiment payload."
annuli,
anodes,"The positive poles or electrodes of electron emitters, such as electron tubes or electric cells."
anodic coatings,
anodic stripping,The removal of metal coatings.
anodizing,"An electrolytic oxidation process in which the surface of a metal, when anodic, is converted to a coating having desirable protective, decorative, or functional properties."
anolytes,
anomalies,"In general, deviations from the norm."
anomalous temperature zones,
anorthosite,A group of essentially monomineralic plutonic igneous rocks composed almost entirely of plagioclass feldspar.
anoxia,A complete lack of oxygen available for physiological use within the body.
Antarctic Ocean,
Antarctic regions,The areas surrounding and including the continent of Antarctica. Used for Antarctica.
Antares rocket vehicle,
Antelope missile,
antenna arrays,"Systems of antennas coupled together to obtain directional effects, or to increase sensitivity."
antenna components,
antenna couplers,
antenna design,
antenna feeds,
antenna gain,
antenna radiation patterns,
antennas,Conductors or systems of conductors for radiating or receiving radio waves.
anthracene,
anthracite,"Coal of the highest metamorphic rank, in which fixed-carbon content is between 92 percent and 98 percent (on a dry, mineral-matter-free basis). It is hard and black, and has a semimetallic luster and semiconchoidal fracture. Anthracite ignites with difficulty and burns with a short blue flame, without smoke. Used for hard coal."
